Название;Важность;Выполнено;Инфо
ASDFGHJK;3;0;SDFGHJK
фыфы;0;1;ффффф
;0;0;
uhiuh;0;0;
огррррррр;2;0;зззззззз
Доделать проект;5;0;Реально доделать проект. Во вторник сдача. Еще затестить надо. Вообще жуть - мой первый проект. ыыы
aaaaaaaaaaaaaaaaaaaaaaaaaaaaa;2;0;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
aaaaa aaaaaa aaaaaaaaa aaaaaaaa aaaaaaa;2;0;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
aaaaa aaaaaa aaaaaaaaa aaaaaaaa aaaaaaa;2;0;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaa aaaaaaaaaaaa aaaaaa aaaa aaaa aa
bbbb;1;0;bbb  fff ff ff ffff
